,age,edu_years,hours_per_week,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,marital_status_Married-civ-spouse,occupation_Adm-clerical,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Other-service,occupation_Prof-specialty,occupation_Sales,occupation_Tech-support,race_Black,race_White,native_country_Europe,native_country_US,age^2,age edu_years,age hours_per_week,age sex_code,edu_years hours_per_week,edu_years sex_code,hours_per_week^2,hours_per_week sex_code,income_code
39,57,13,40,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3249.0,741.0,2280.0,0.0,520.0,0.0,1600.0,0.0,1
40,53,9,38,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2809.0,477.0,2014.0,0.0,342.0,0.0,1444.0,0.0,0
41,44,14,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1936.0,616.0,1760.0,44.0,560.0,14.0,1600.0,40.0,0
42,41,11,40,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1681.0,451.0,1640.0,0.0,440.0,0.0,1600.0,0.0,0
43,29,11,43,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,841.0,319.0,1247.0,0.0,473.0,0.0,1849.0,0.0,0
44,25,10,40,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,625.0,250.0,1000.0,25.0,400.0,10.0,1600.0,40.0,0
45,47,15,60,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2209.0,705.0,2820.0,47.0,900.0,15.0,3600.0,60.0,1
46,50,13,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2500.0,650.0,2750.0,0.0,715.0,0.0,3025.0,0.0,1
47,47,9,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2209.0,423.0,2820.0,0.0,540.0,0.0,3600.0,0.0,0
48,43,10,40,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1849.0,430.0,1720.0,0.0,400.0,0.0,1600.0,0.0,1
49,46,3,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2116.0,138.0,1840.0,0.0,120.0,0.0,1600.0,0.0,0
50,35,11,40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1225.0,385.0,1400.0,0.0,440.0,0.0,1600.0,0.0,0
51,41,9,48,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1681.0,369.0,1968.0,0.0,432.0,0.0,2304.0,0.0,0
52,30,9,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,900.0,270.0,1200.0,0.0,360.0,0.0,1600.0,0.0,0
53,30,13,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,900.0,390.0,1200.0,0.0,520.0,0.0,1600.0,0.0,0
54,48,9,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2304.0,432.0,1920.0,0.0,360.0,0.0,1600.0,0.0,0
55,42,16,45,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1764.0,672.0,1890.0,0.0,720.0,0.0,2025.0,0.0,1
56,29,10,58,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,841.0,290.0,1682.0,0.0,580.0,0.0,3364.0,0.0,0
57,36,9,40,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1296.0,324.0,1440.0,0.0,360.0,0.0,1600.0,0.0,0
58,28,10,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,784.0,280.0,1120.0,28.0,400.0,10.0,1600.0,40.0,0
59,53,9,40,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2809.0,477.0,2120.0,53.0,360.0,9.0,1600.0,40.0,1
60,49,10,50,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2401.0,490.0,2450.0,0.0,500.0,0.0,2500.0,0.0,1
61,19,10,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,361.0,190.0,608.0,0.0,320.0,0.0,1024.0,0.0,0
62,31,13,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,961.0,403.0,1240.0,31.0,520.0,13.0,1600.0,40.0,0
63,29,13,70,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,841.0,377.0,2030.0,0.0,910.0,0.0,4900.0,0.0,1
64,23,10,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,529.0,230.0,920.0,0.0,400.0,0.0,1600.0,0.0,0
65,27,9,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,729.0,243.0,1080.0,0.0,360.0,0.0,1600.0,0.0,0
66,40,12,40,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1600.0,480.0,1600.0,0.0,480.0,0.0,1600.0,0.0,0
67,18,7,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,324.0,126.0,396.0,18.0,154.0,7.0,484.0,22.0,0
68,31,4,40,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,961.0,124.0,1240.0,0.0,160.0,0.0,1600.0,0.0,0
69,18,9,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,324.0,162.0,540.0,0.0,270.0,0.0,900.0,0.0,0
70,52,13,40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2704.0,676.0,2080.0,0.0,520.0,0.0,1600.0,0.0,0
71,46,9,40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2116.0,414.0,1840.0,46.0,360.0,9.0,1600.0,40.0,0
72,59,9,48,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3481.0,531.0,2832.0,0.0,432.0,0.0,2304.0,0.0,0
73,44,9,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1936.0,396.0,1760.0,44.0,360.0,9.0,1600.0,40.0,1
74,53,9,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2809.0,477.0,1855.0,53.0,315.0,9.0,1225.0,35.0,0
75,49,9,40,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2401.0,441.0,1960.0,0.0,360.0,0.0,1600.0,0.0,1
76,33,14,50,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1089.0,462.0,1650.0,0.0,700.0,0.0,2500.0,0.0,0
77,30,5,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,900.0,150.0,1200.0,0.0,200.0,0.0,1600.0,0.0,0
78,43,16,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1849.0,688.0,2150.0,43.0,800.0,16.0,2500.0,50.0,1
79,57,11,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3249.0,627.0,2280.0,0.0,440.0,0.0,1600.0,0.0,0
80,37,10,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1369.0,370.0,1480.0,37.0,400.0,10.0,1600.0,40.0,0
81,28,10,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,784.0,280.0,700.0,28.0,250.0,10.0,625.0,25.0,0
82,34,13,40,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1156.0,442.0,1360.0,0.0,520.0,0.0,1600.0,0.0,1
83,29,10,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,841.0,290.0,1450.0,0.0,500.0,0.0,2500.0,0.0,0
84,48,16,60,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2304.0,768.0,2880.0,0.0,960.0,0.0,3600.0,0.0,1
85,37,10,48,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1369.0,370.0,1776.0,0.0,480.0,0.0,2304.0,0.0,1
86,48,12,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2304.0,576.0,1920.0,48.0,480.0,12.0,1600.0,40.0,0
87,32,9,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1024.0,288.0,1280.0,0.0,360.0,0.0,1600.0,0.0,0
88,76,14,40,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,5776.0,1064.0,3040.0,0.0,560.0,0.0,1600.0,0.0,1
89,44,13,60,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1936.0,572.0,2640.0,0.0,780.0,0.0,3600.0,0.0,1
90,47,14,50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2209.0,658.0,2350.0,47.0,700.0,14.0,2500.0,50.0,0
91,20,10,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,400.0,200.0,800.0,20.0,400.0,10.0,1600.0,40.0,0
92,29,9,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,841.0,261.0,1160.0,0.0,360.0,0.0,1600.0,0.0,0
93,32,9,40,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1024.0,288.0,1280.0,0.0,360.0,0.0,1600.0,0.0,1
94,30,7,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,900.0,210.0,1200.0,0.0,280.0,0.0,1600.0,0.0,0
95,31,9,40,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,961.0,279.0,1240.0,31.0,360.0,9.0,1600.0,40.0,0
96,42,9,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1764.0,378.0,1680.0,0.0,360.0,0.0,1600.0,0.0,0
97,24,13,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,576.0,312.0,960.0,0.0,520.0,0.0,1600.0,0.0,0
98,38,15,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1444.0,570.0,1520.0,0.0,600.0,0.0,1600.0,0.0,1
99,56,9,50,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3136.0,504.0,2800.0,0.0,450.0,0.0,2500.0,0.0,1
100,28,10,25,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,784.0,280.0,700.0,28.0,250.0,10.0,625.0,25.0,0
101,36,9,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1296.0,324.0,1440.0,36.0,360.0,9.0,1600.0,40.0,0
102,53,5,50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2809.0,265.0,2650.0,0.0,250.0,0.0,2500.0,0.0,0
103,56,10,50,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3136.0,560.0,2800.0,0.0,500.0,0.0,2500.0,0.0,0
104,49,11,40,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2401.0,539.0,1960.0,0.0,440.0,0.0,1600.0,0.0,1
105,55,10,56,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3025.0,550.0,3080.0,0.0,560.0,0.0,3136.0,0.0,0
106,22,9,41,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,484.0,198.0,902.0,0.0,369.0,0.0,1681.0,0.0,0
107,21,10,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,441.0,210.0,840.0,21.0,400.0,10.0,1600.0,40.0,0
108,40,13,60,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1600.0,520.0,2400.0,0.0,780.0,0.0,3600.0,0.0,0
109,30,13,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,900.0,390.0,1200.0,0.0,520.0,0.0,1600.0,0.0,0
110,29,13,50,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,841.0,377.0,1450.0,0.0,650.0,0.0,2500.0,0.0,1
111,19,10,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,361.0,190.0,665.0,0.0,350.0,0.0,1225.0,0.0,0
112,47,13,40,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2209.0,611.0,1880.0,47.0,520.0,13.0,1600.0,40.0,1
113,20,10,28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,400.0,200.0,560.0,20.0,280.0,10.0,784.0,28.0,0
114,31,12,40,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,961.0,372.0,1240.0,0.0,480.0,0.0,1600.0,0.0,1
115,39,10,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1521.0,390.0,1560.0,0.0,400.0,0.0,1600.0,0.0,0
116,28,12,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,784.0,336.0,1680.0,28.0,720.0,12.0,3600.0,60.0,0
117,24,9,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,576.0,216.0,960.0,24.0,360.0,9.0,1600.0,40.0,0
118,38,9,35,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1444.0,342.0,1330.0,0.0,315.0,0.0,1225.0,0.0,0
119,37,13,50,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1369.0,481.0,1850.0,0.0,650.0,0.0,2500.0,0.0,0
120,46,12,36,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2116.0,552.0,1656.0,46.0,432.0,12.0,1296.0,36.0,0
121,38,14,40,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1444.0,532.0,1520.0,0.0,560.0,0.0,1600.0,0.0,1
122,43,9,60,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1849.0,387.0,2580.0,0.0,540.0,0.0,3600.0,0.0,0
123,27,11,35,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,729.0,297.0,945.0,27.0,385.0,11.0,1225.0,35.0,0
124,20,10,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,400.0,200.0,400.0,0.0,200.0,0.0,400.0,0.0,0
125,49,10,40,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2401.0,490.0,1960.0,0.0,400.0,0.0,1600.0,0.0,1
126,61,9,40,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3721.0,549.0,2440.0,0.0,360.0,0.0,1600.0,0.0,0
127,27,10,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,729.0,270.0,1080.0,27.0,400.0,10.0,1600.0,40.0,0
128,19,10,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,361.0,190.0,570.0,0.0,300.0,0.0,900.0,0.0,0
129,45,11,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2025.0,495.0,1800.0,45.0,440.0,11.0,1600.0,40.0,1
130,70,10,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4900.0,700.0,2800.0,0.0,400.0,0.0,1600.0,0.0,0
131,31,9,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,961.0,279.0,930.0,31.0,270.0,9.0,900.0,30.0,0
132,22,10,24,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,484.0,220.0,528.0,0.0,240.0,0.0,576.0,0.0,0
133,36,9,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1296.0,324.0,864.0,36.0,216.0,9.0,576.0,24.0,0
134,64,7,40,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,4096.0,448.0,2560.0,0.0,280.0,0.0,1600.0,0.0,0
135,47,10,38,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2209.0,470.0,1786.0,47.0,380.0,10.0,1444.0,38.0,0
136,34,9,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1156.0,306.0,1360.0,34.0,360.0,9.0,1600.0,40.0,0
137,33,13,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1089.0,429.0,1320.0,33.0,520.0,13.0,1600.0,40.0,0
138,21,9,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,441.0,189.0,735.0,0.0,315.0,0.0,1225.0,0.0,0
139,48,9,46,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2304.0,432.0,2208.0,0.0,414.0,0.0,2116.0,0.0,0
140,23,13,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,529.0,299.0,920.0,0.0,520.0,0.0,1600.0,0.0,0
141,29,9,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,841.0,261.0,1740.0,0.0,540.0,0.0,3600.0,0.0,0
142,42,13,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1764.0,546.0,2100.0,0.0,650.0,0.0,2500.0,0.0,0
143,25,9,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,625.0,225.0,1000.0,25.0,360.0,9.0,1600.0,40.0,0
144,44,14,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1936.0,616.0,1760.0,44.0,560.0,14.0,1600.0,40.0,0
145,28,9,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,784.0,252.0,1120.0,28.0,360.0,9.0,1600.0,40.0,0
146,45,14,40,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,2025.0,630.0,1800.0,0.0,560.0,0.0,1600.0,0.0,1
147,36,10,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1296.0,360.0,1440.0,36.0,400.0,10.0,1600.0,40.0,0
148,39,12,42,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1521.0,468.0,1638.0,0.0,504.0,0.0,1764.0,0.0,0
149,46,14,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2116.0,644.0,1840.0,0.0,560.0,0.0,1600.0,0.0,0
150,18,7,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,324.0,126.0,288.0,0.0,112.0,0.0,256.0,0.0,0
151,66,11,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4356.0,726.0,1320.0,66.0,220.0,11.0,400.0,20.0,0
152,27,9,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,729.0,243.0,1080.0,0.0,360.0,0.0,1600.0,0.0,0
153,28,9,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,784.0,252.0,1120.0,0.0,360.0,0.0,1600.0,0.0,0
154,51,10,40,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2601.0,510.0,2040.0,0.0,400.0,0.0,1600.0,0.0,1
155,27,13,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,729.0,351.0,1350.0,0.0,650.0,0.0,2500.0,0.0,0
156,28,13,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,784.0,364.0,1120.0,0.0,520.0,0.0,1600.0,0.0,1
157,27,9,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,729.0,243.0,675.0,27.0,225.0,9.0,625.0,25.0,0
158,21,9,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,441.0,189.0,840.0,0.0,360.0,0.0,1600.0,0.0,0
159,34,9,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1156.0,306.0,1360.0,0.0,360.0,0.0,1600.0,0.0,0
160,18,9,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,324.0,162.0,216.0,0.0,108.0,0.0,144.0,0.0,0
161,33,13,65,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1089.0,429.0,2145.0,0.0,845.0,0.0,4225.0,0.0,0
162,44,10,38,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1936.0,440.0,1672.0,0.0,380.0,0.0,1444.0,0.0,1
163,43,10,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1849.0,430.0,1720.0,43.0,400.0,10.0,1600.0,40.0,0
164,30,10,45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,900.0,300.0,1350.0,0.0,450.0,0.0,2025.0,0.0,0
165,40,4,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1600.0,160.0,1600.0,0.0,160.0,0.0,1600.0,0.0,1
166,37,10,42,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1369.0,370.0,1554.0,0.0,420.0,0.0,1764.0,0.0,1
